candidate,param_kind,log_loss,brier,top1_acc,top2_acc,ece,log_loss_ci_low,log_loss_ci_high,ece_ci_low,ece_ci_high,param_beta,param_threshold,param_scale,param_shift
log_beta_0.40,log,2.2674527774442326,0.8746590884030048,0.20543478260869566,0.3804347826086957,0.022244191926581263,2.2367830474815444,2.3032662717388677,0.011764636646525236,0.03777450444310696,0.4,,,
linear_beta_0.20,linear,2.268992442299738,0.876735988786343,0.20652173913043478,0.38233695652173916,0.02739127492676713,2.238979717859885,2.299601940894469,0.015804324934652468,0.04465604459888021,0.2,,,
gate_threshold_0.20,gate,2.2733689250833646,0.8774347945719594,0.2016304347826087,0.3703804347826087,0.016019428109885533,2.245437618528392,2.3008608755615,0.00536030918411765,0.032126049928922165,,0.2,,
log_beta_0.30,log,2.274872206338253,0.8755954625170788,0.20543478260869566,0.3828804347826087,0.025262002801544805,2.2436705177906737,2.3137647263891434,0.013848602859055918,0.04103873653930423,0.30000000000000004,,,
linear_beta_0.10,linear,2.277899079156671,0.8782134329025507,0.20597826086956522,0.3793478260869565,0.03403696277447371,2.247302753439329,2.309827746475906,0.0188172253125668,0.04898140044913319,0.1,,,
log_beta_0.20,log,2.2837690196334495,0.876793975687008,0.20570652173913043,0.38179347826086957,0.028120307563228582,2.251789953466294,2.323967797118135,0.016841825913412763,0.044104362384584546,0.2,,,
reference_A_markov,reference_A_markov,2.2859034546421237,0.8745828237449977,0.19619565217391305,0.37418478260869564,0.019793282422381545,2.2506555271762263,2.338421501399973,0.010021054362575587,0.03422793510667253,,,,
log_beta_0.10,log,2.2941392775629033,0.8782514447168841,0.20597826086956522,0.38016304347826085,0.035532091215600116,2.2614258580692748,2.336709159575667,0.020831975340015466,0.05001180276591694,0.1,,,
gate_threshold_0.15,gate,2.300840585558185,0.879116142532861,0.19972826086956522,0.3736413043478261,0.033961752563181305,2.266619032203462,2.346205014641232,0.019051700817935818,0.04998458624306246,,0.15000000000000002,,
log_beta_0.00,log,2.3059808669490116,0.879965827393327,0.20407608695652174,0.37527173913043477,0.03975465767403804,2.272562358407173,2.351584701848407,0.02478602628064255,0.054824846967320484,0.0,,,
